Company Name,Industry,Symbol,Series,ISIN Code,description
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,"Aegis Logistics Limited, together with its subsidiaries, operates as an oil, gas, and chemical logistics company primarily in India. The company operates through Liquid Terminal Division and Gas Terminal Division segments. It owns and operates a network of shore based tank farm installations for the handling of bulk liquids, including hazardous chemicals, petroleum products, and petrochemicals for petroleum, oil, petrochemical, chemical, and vegetable oil industries, as well as sources and distributes LPG and propane. The company also offers supply chain management services, including product planning, sourcing, shipping, receipt, storage, and dispatch; product handling services; storage services for other related gases, such as Butene-1, Butadiene, Propylene, VCM etc.; energy solution to industries for their various applications; and turnkey solutions for conversions from other fuels/energy sources, as well as supplies LPG, propane, and butane. In addition, it provides fuel transportation services; and LPG installation and interfuel conversion services for home, hotels, and industries, as well as offers LPG appliances, such as cooktops, pressure cooker, cookware, LPG iron-gasXpress, and LPG accessories. Aegis Logistics Limited was incorporated in 1956 and is based in Mumbai, India."
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,"Aether Industries Limited manufactures and sells advanced intermediates and specialty chemicals in India and internationally. It offers 4-(2-Methoxyethyl) phenol (4MEP), 3-Methoxy-2-Methylbenzoyl Chloride (MMBC) (2), thiophene-2-ethanol (T2E), N-Octyl-D-glucamine/1- deoxy-1-(Octylamino)-D-Glucitol (NODG), ortho tolyl benzo nitrile/4'- Methyl-2-cyanobiphynyl (OTBN), 1-2-(2Hydroxyethoxy) ethyl piperazine (HEEP), delta-valerolactone (DVL), and bifenthrin alcohol products. The company also provides contract research and manufacturing services. It serves pharmaceutical, agrochemical, material science, coating, high performance photography, food additive, and oil and gas industries. Aether Industries Limited was incorporated in 2013 and is based in Surat, India."
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,"Affle (India) Limited, together with its subsidiaries, provides mobile advertisement services through information technology and software development services for mobiles in India and internationally. It operates through Consumer Platform and Enterprise Platform segments. The company provides reselling services of advertisement space for online publishing companies; and customized mobile app development services. It also offers Appnext, an app recommendation platform; mDMP, a data organize platform; Mediasmart, a self serve programmatic platform; Jampp, a programmatic app platform; MAAS platform; RevX; and Vizury; and YouAppi. Affle (India) Limited was incorporated in 1994 and is based in Gurugram, India."
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,"Alembic Pharmaceuticals Limited develops, manufactures, and markets pharmaceutical products in India and internationally. The company provides branded specialty medicines in various therapeutic areas, such as cardiology, gynecology, gastrology, ophthalmology, dermatology, nephrology/urology, orthopedics, anti-infective, cold and cough, veterinary, and anti-diabetic; generics formulations in oral solids, oncology oral solids and injectables, general injectables and ophthalmic products, dermatology, and oral suspension; and active pharmaceutical ingredients. It also exports its products. Alembic Pharmaceuticals Limited was founded in 1907 and is headquartered in Vadodara, India."
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,"Alkyl Amines Chemicals Limited engages in manufacture and supply of amines, amine derivatives, and other specialty chemicals in India and internationally. It offers aliphatic amine products, such as methylamines, ethylamines, isopropylamines, n-propylamines, n-butylamines, ethylhexylamines, furfurylamines, and cyclohexylamines; and amine derivatives, including dimethylamine hydrochloride, diethylamine hydrochloride, triethylamine hydrochloride, 3-ethoxy propylamine, 3-(methylaminopropyl) amine, dimethylaminopropylamine, 3-(2-ethylhexyloxy) propylamine, n-methylbenzylamine, diisopropyl ethylamine, diethylhydroxylamine, diethyl toluamide, and diethylphenyl acetamide. The company also provides speciality chemicals, such as acetonitrile, 1,8-diazabicyclo[5.4.0]undec-7-ene, alchan 100, alchan 300, 2-aminoethoxy ethanol, 2-ethoxy ethylamine, dimethylpropyleneurea, tetramethyl ethylenediamine, and monomethylamine. It serves pharmaceutical, agrochemical, water treatment, rubber chemical, and other industries. The company was incorporated in 1979 and is headquartered in Navi Mumbai, India."
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,"Allcargo Logistics Limited provides integrated logistics solutions in India, the United States, the Far East, Europe, and internationally. The International Supply Chain business is involved in non-vessel owning common carrier operations related to less than container load (LCL) consolidation and full container load forwarding activities, as well as offers digital logistics solutions. The Contract Logistics business offers warehousing, as well as production logistics, engineering, and ordering and replenishment services; and reusable packaging solutions, kitting, just-in-time, and pull delivery concepts and pre-production services. The Express Logistics business provides end-to-end logistics, surface and air express, and supply chain management and e-Commerce solutions. The company was formerly known as Allcargo Global Logistics Limited and changed its name to Allcargo Logistics Limited in July 2011. Allcargo Logistics Limited was incorporated in 1993 and is based in Mumbai, India."
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029,"Alok Industries Limited manufactures and sells textile products in India and internationally. It offers apparel fabrics, corrugated pallets, cotton and blended yarns, knitted and woven garments, home textiles, polyester yarns, and embroidery products, as well as shopping bags and handkerchiefs. The company was incorporated in 1986 and is based in Mumbai, India."
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,"Amara Raja Energy & Mobility Limited manufactures and sells lead-acid storage batteries for industrial and automotive applications in India. The company also provides installation, commissioning, and maintenance services. It sells its batteries under the Amaron, PowerZone, Power Stack, AmaronVolt, and Quanta brands. The company exports its products to various countries in the Indian Ocean Rim. It supplies its batteries to various customer groups, such as telecom, railways, solar, power control, and UPS; and automobile OEMs, replacement markets, and private label customers. The company was formerly known as Amara Raja Batteries Limited and changed its name to Amara Raja Energy & Mobility Limited in September 2023. The company was incorporated in 1985 and is based in Hyderabad, India."
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,"Amber Enterprises India Limited provides room air conditioner solutions in India. It designs and manufactures a range of room air conditioners (RACs), including window air conditioners, indoor units, and outdoor units of split air conditioners; and inverter RACs. The company offers functional components of RACs, such as heat exchangers, motors, and multi-flow condensers; and other RAC components comprising sheet metal components, copper tubing, plastic extrusion, vacuum forming, and injection molding components. In addition, it manufactures components for other consumer durables and automobiles, such as case liners for refrigerators and plastic extrusion sheets; sheet metal components for microwave; and washing machine tub assemblies, as well as products for automobiles and metal ceiling industries. Further, the company provides mobile air conditioners for railway, metro, bus, defense, and other establishments. It also exports its products. Amber Enterprises India Limited was incorporated in 1990 and is based in Gurugram, India."
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,"Anand Rathi Wealth Limited engages in the distribution and sale of mutual funds and financial products in India. The company distributes equity and debt mutual funds, non-principal protected structured products, and other financial products. It also operates a technology platform for independent financial advisors, which include client reporting, business dashboard, client engagement, online mutual fund transactions, and goal planning products. The company was formerly known as Anand Rathi Wealth Services Limited and changed its name to Anand Rathi Wealth Limited in January 2021. Anand Rathi Wealth Limited was incorporated in 1995 and is based in Mumbai, India."
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,"Angel One Limited provides broking and advisory services, margin funding, loans against shares, and financial products to its clients in India. It operates in three segments: Broking and Related Services; Finance and Investing Activities; and Health and Allied Fitness Activities. The company offers broking services through online and digital platforms, as well as a network of authorized persons. Its products include equity, commodities, derivatives, and currency trading. The company offers portfolio management, investment advisory, intraday trading, trading account, portfolio health score, initial public offering, and DEMAT account services. It also engages in the financing and investment activities; and operation of fitness centers. The company was formerly known as Angel Broking Limited and changed its name to Angel One Limited in September 2021. The company was incorporated in 1996 and is based in Mumbai, India."
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,"Anupam Rasayan India Ltd engages in the custom synthesis and manufacturing of specialty chemicals in India, Europe, Japan, Singapore, China, North America, and internationally. The company offers life science related specialty chemicals, such as agro intermediates and agro active ingredients for the agrochemicals industry; anti-bacterial and ultra violet protection intermediates and ingredients for the personal care industry; and intermediates and key starting materials for active pharmaceutical ingredients. It also provides other specialty chemicals used in various end-user segments, including specialty pigments, specialty dyes, and polymer additives. The company was founded in 1984 and is headquartered in Surat, India."
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,"Apar Industries Limited engages in the electrical and metallurgical engineering business in India. The company offers transformer oils, including naphthenic and iso--paraffinic grades; liquid paraffins that are used in baby oil, medical and pharma, cosmetic, food packaging and coating, personal care, bakery, and plastic industries; petroleum jelly for use in personal care, pharmaceutical formulations, dermatological and ophthalmic formulations, battery terminal compounds, release agents for plaster molds and castings, and personal care and leather industries; process oils for rubber and tires, EPDM rubber/profiles, low PCA oils, TPE and plastics, hot melt adhesives, and ink oils; base oils for metal working fluids; and process oils for general applications. It also provides CTC/PICC conductors, railway overhead conductors, T&D overhead conductors, optical ground wires, aluminum and alloy rods, specialty wires, and turnkey solutions, as well as copper rods, wires, busbars, and strips; and electrical cables, elastomer and E-beam cables, light duty cables and wires, fiber optic cables, and specialty products and services. In addition, the company offers thermoplastic elastomers, thermoplastic vulcanizates, zero halogen flame-retardant materials, various other polymer compounds, and customizable products under the Aparprene brand; automotive and industrial lubricants; and specialty automotive products comprising batteries and lubricants, and diesel exhaust fluids or power oils, as well as vehicle care services. It provides its products and services for applications in various fields, including in power transmission conductors, petroleum specialty oils, power and telecommunication cables, and house wires. The company also exports its products. Apar Industries Limited was founded in 1958 and is headquartered in Mumbai, India."
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,"Aptus Value Housing Finance India Limited operates as a home loan company in India. It offers home construction, purchase, renovation, and extension loans; and loans against property for construction and purchase; and credit shield and property insurance. The company serves the needs of self-employed low- and middle-income families from rural and semi urban areas. It also provides finance in the form of loan against immovable properties. The company was incorporated in 2009 and is headquartered in Chennai, India."
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021,"Archean Chemical Industries Limited manufactures and sells specialty marine chemicals in India and internationally. It offers bromine for use in pharmaceuticals, agrochemicals, flame retardants, and water treatment products, as well as oil and gas, and energy storage industries; industrial salt for chloralkali chemical, food and beverage, water treatment, and oil and gas industries; and sulphate of potash, an inorganic salt for agrochemicals, medical, glass, cosmetics, etc. industries. The company was founded in 2003 and is based in Chennai, India."
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,"Asahi India Glass Limited, an integrated glass and windows solutions company, manufactures and supplies various glass products in India and internationally. It operates in two segments, Automotive Glass and Float Glass. The company offers various automotive glass products, including laminated windshields, tempered glass for sidelites and backlites, defogger glasses, glass antennas, encapsulated glasses, plug-in windows, solar control glasses, IR and UV cut glasses, dark green UV cut glasses, rain sensor and wiper heated windshields, glasses with assembly, privacy glasses, acoustic windshields, IR cut and acoustic windshields, sliding windows for buses and trucks, thinner glazings, bullet resistant glasses, removed sunveil green glasses, head up display W/S, and IGU for metro and railways. It also provides a range of architectural glass products, such as clear float, heat absorbing, solar control, patterned reflective, sunshield, patterned sunshield, ecosense, energy-efficient reflective, impact resistance, burglar resistant, sound resistant, valuglas, securityplus, insulated-glazed, heat-strengthened, swytchglas -electrochromatic, integrated blinds, pyrobel - fire retardant, and energy-efficient reflective glasses. In addition, the company offers uPVC and aluminum windows; designer glasses, such as back painted, frosted, mesh laminated, colored laminated, fabric laminated, printed, and acid etched glasses, as well as distortion-free mirrors, ceramic frit, and vibrant colors for interiors; and glass, window, and door solutions. Further, it provides automotive glass repair and replacement services. Asahi India Glass Limited was incorporated in 1984 and is based in Gurugram, India."
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,"Aster DM Healthcare Limited provides healthcare and allied services in India, the United Arab Emirates, Qatar, Oman, Kingdom of Saudi Arabia, Jordan, Kuwait and Bahrain, and Republic of Mauritius. It operates through Hospitals, Clinics, Retail Pharmacies, and Others segments. The company operates hospitals and in-house pharmacies at the hospitals; and clinics and in-house pharmacies at the clinics, as well as retail pharmacies and optical outlets. It also offers healthcare consultancy and other services. The company was founded in 1987 and is headquartered in Dubai, United Arab Emirates."
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,"AstraZeneca Pharma India Limited, a biopharmaceutical company, engages in manufacturing, distributing, and marketing of pharmaceutical products in India and internationally. It manufactures and sells cardiovascular disease and diabetes medicines under the Brilinta, Betaloc, Crestor, Forxiga, Imdur, Kombiglyze XR, Onglyza, Seloken XL, Xigduo XR, and QTERN brand names; Respiratory medicines under the Symbicort and FASENRA brand names; and oncology medicines under the LYNPARZA, Tagrisso, Iressa, Calquence, Casodex, Faslodex, Zoladex, and Arimidex brand names. The company also offers products in the areas of renal, metabolic, and immunology diseases. It also provides clinical trial services. The company was incorporated in 1979 and is based in Bengaluru, India. AstraZeneca Pharma India Limited is a subsidiary of AstraZeneca Pharmaceuticals AB."
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,"Avanti Feeds Limited manufactures and sells shrimp feeds in India, Europe, the United States of America, Japan, Korea, China, Russia, Canada, and the Middle East. It operates through Shrimp Feed, Shrimp Hatchery, and Wind Mills segments. It provides shrimp feeds for aqua culture to grow shrimps, as well as offers hatchery which produces shrimp seeds to aqua farmers. The company also engages in generation and distribution of electricity. Avanti Feeds Limited was incorporated in 1993 and is headquartered in Hyderabad, India."
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,"BEML Limited provides products and services to the mining and construction, rail and metro, and defense and aerospace sectors in India. The company offers mining machinery for opencast and underground mines; hydraulic excavators, bulldozers, wheel loaders and dozers, dump trucks, motor graders, pipe layers, tyre handlers, water sprinklers, and backhoe loaders; and hydraulics, powerline systems, and engines. It also provides bridge layer, field artillery tractor, medium & heavy recovery vehicle, pontoon mainstream bridge systems, crash fire tenders, mobile mast vehicle, etc., as well as supplies engineering mine ploughs, tank transportation trailers, weapon loading equipment, and armoured recovery vehicle. In addition, the company offers passenger coaches, metro cars, track laying equipment, rail bus, spoil disposal unit, treasury van, mil rail coaches, wagons, and utility track vehicles. It also exports its products worldwide. The company was formerly known as Bharat Earth Movers Limited. BEML Limited was incorporated in 1964 and is based in Bengaluru, India."
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,"BLS International Services Limited provides outsourcing and administrative task of visa, passport, and consular services to various diplomatic missions. The company offers citizen and front-end, e-visa, and biometric and identity management services; verification and attestation services; and value-added services, as well as passport and government services. It operates in Asia, Africa, Europe, South America, North America, and the Middle East. BLS International Services Limited was incorporated in 1983 and is headquartered in New Delhi, India."
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,"Balaji Amines Limited engages in the manufacture and sale of methylamines, ethylamines, and derivatives of specialty chemicals and pharma excipients in India. The company operates in two segments, Chemicals and Hotel. It offers monomethylamine, dimethylamine, trimethylamine, monoethylamine, diethylamine, triethylamine, and dimethyl and diethyl amino ethanol; and specialty chemicals, including N-methyl pyrrolidone, morpholine, 2-pyrrolidone, N-ethyl-2-pyrrolidone, gamma-butyrolactone, dimethylformamide, acetonitrile, dimethylcarbonate, propylene glycol, and propylene carbonate. The company also provides derivatives comprising di-methyl acetamide, di-methyl amine hydrochloride, tri-methyl amine hydrochloride, di-ethyl amine hydrochloride, tri-ethyl amine hydrochloride, di-methyl urea, choline chloride, mono-ethyl amine hydrochloride, and benzyl tri ethyl ammonium chloride; and pharma excipients, such as poly vinyl pyrrolidone. In addition, it operates Balaji Sarovar Premiere, a hotel in Solapur, Maharashtra. The company serves pharmaceutical, agrochemical, paint and resin, animal feed, oil and gas, rubber cleaning chemical, dye and textile, and water treatment chemical industries, as well as food and beverage, fragrance, and specialty chemical sectors. It also exports its products to the United States, the United Kingdom, Argentina, Latin America, Canada, Israel, Australia, Bangladesh, Germany, Italy, Egypt, South Africa, and internationally. Balaji Amines Limited was incorporated in 1988 and is headquartered in Solapur, India."
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,"Balrampur Chini Mills Limited, an integrated sugar manufacturing company, manufactures and sells sugar in India. It operates through Sugar, Distillery, and others segments. The company also offers molasses, industrial alcohol, ethanol, and bagasse; and agricultural fertilizers, such as soil conditioner, granulated potash, etc. In addition, it is involved in the generation and sale of electricity. The company was incorporated in 1975 and is headquartered in Kolkata, India."
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,"Bikaji Foods International Limited produces and sells food products in India. It offers bhujia, namkeen, sweets, papad, pellets, chips, and other snacks, as well as oven-fresh products; and frozen foods, gift packs, mathris, and cookies under the Bikaji brand. The company sells its products through distributors, modern trade, and direct sales channel, as well as online. The company also exports its products to North America, Europe, the Asia Pacific, the Middle East, Africa, and the United Kingdom regions. The company was formerly known as Shivdeep Industries Ltd. Bikaji Foods International Limited was founded in 1986 and is based in Bikaner, India."
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,"Birla Corporation Limited manufactures and sells cement in India. The company operates through three segments: Cement, Jute, and Others. It offers ordinary Portland, Portland Pozzolana, and Portland slag cement under the MP Birla Cement Perfect Plus, MP Birla Cement Samrat Advanced, MP Birla Cement Ultimate Ultra, MP Birla Cement Unique, MP Birla Cement Samrat, MP Birla Cement Ultimate, MP Birla Cement Chetak, MP Birla Cement PSC, MP Birla Cement MULTICEM, and MP Birla Cement CONCRECEM brands used in bridges, dams, railway sleepers, reservoirs, industrial buildings, marine structures, cooling towers, metro lines, and airport runways. In addition, the company manufactures various jute products, such as jute yarn, floor and wall coverings, decorative fabrics, scrims, jute carpets, non-woven jute felts, hydrocarbon-free bags/cloths, carpet backing cloths, which are used in mats, yarns, ropes, bags, carpets, and panama. Further, it offers iron and steel castings. The company exports its products. The company was formerly known as Birla Jute Manufacturing Company Limited and changed its name to Birla Corporation Limited in 1998. Birla Corporation Limited was incorporated in 1919 and is based in Kolkata, India."
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,"Birlasoft Limited provides enterprise digital IT services in the Americas, Europe, the United Kingdom, and internationally. It offers digital transformation services, including data analytics, connected products, intelligent automation, cloud, customer experience, and blockchain services; and enterprise technologies and services in the areas of Oracle and JD Edwards, SAP, Infor, Microsoft, customer relationship management, manufacturing execution systems, product lifecycle management, supply chain management, IT transformation, applications management, testing, and infrastructure and cloud technology. The company also offers solutions, such as intelliOpen, an intelligent system for contactless screening of people, social distancing monitoring, and contact tracing; intelliAsset, a platform for asset visualization, analytics, and actions; TruView CLM, a cloud based contract lifecycle management solution; TruServ FSM, a cloud based touchless automation solution for field services; TruLens, a tool that provides insights into the existing Salesforce implementation; iLink, a solution for the integration of PLM applications and ERP systems; Supplier Risk Radar, an AI-powered preventive risk mitigation solution in the areas of supply chains; Akoya, an engineering analytics solution; and Submission Automation, an insurance broker submission solution. It serves banking, high tech, manufacturing, insurance, media and entertainment, energy and resources, life sciences and healthcare, and utility industries, as well as capital markets. The company was incorporated in 1990 and is based in Pune, India."
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,"Blue Dart Express Limited provides courier and express services in India. It provides day-definite and time-definite delivery schedules across air and ground network under the Domestic Priority, Dart Apex, Dart Surfaceline, and Dart Plus names; door-to-door ground distribution service to approximately 55,400 locations for shipments weighing 10 kgs and above under the Dart Surfaceline name; and industry-specific services. The company also offers air freight services between the airports of Kolkata, Delhi, Mumbai, Bangalore, Chennai, Hyderabad, and Ahmedabad; air express and ground express packaging services under the Smart Box name; wood-free palletized packaging; shipment for freight of 50kg, 75kg, or above 100kg; door-to-door express deliveries for documents and packages; international services; and temperature-controlled logistics solutions, as well as operates domestic express airline charter. It has a fleet of 6 Boeing 757-200 freighters and 2 Boeing 737 aircraft with a capacity of approximately 500 tonnes per night; and a flotilla of approximately 12,000 vehicles and 2,253 facilities. and 260 e-vehicles in India. Blue Dart Express Limited was founded in 1983 and is based in Mumbai, India. Blue Dart Express Limited is a subsidiary of DHL Express (Singapore) Pte. Ltd."
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,"Blue Star Limited operates as a heating, ventilation, air conditioning, and commercial refrigeration (HVAC&R) company in India. The company operates through three segments: Electro-Mechanical Projects and Commercial Air Conditioning Systems, Unitary Products, and Professional Electronics and Industrial Systems. The Electro-Mechanical Projects and Commercial Air Conditioning Systems segment designs, manufactures, installs, commissions, and maintains central air conditioning plants, packaged/ducted systems, and variable refrigerant flow systems; and provides contracting services in electrification, plumbing, and fire-fighting, as well as after-sales services, such as revamp, retrofit, and upgrade services. The Unitary Products segment offers room air conditioners for residential and commercial applications, water purifiers, air purifiers, and air coolers; and manufactures and markets a range of commercial refrigeration products and cold chain equipment. The Professional Electronics and Industrial Systems segment trades in and services testing machines, medical, analytical, test and measuring, data communications, and industrial products and systems. It also exports its products to 18 countries in the Middle East, African, SAARC, and ASEAN regions. Blue Star Limited was founded in 1943 and is headquartered in Mumbai, India."
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,"The Bombay Burmah Trading Corporation, Limited, together with its subsidiaries, engages in the tea and coffee plantations, auto electric components, healthcare, and real estate businesses in India and internationally. The company produces and trades in tea, coffee, timber, cardamom, and pepper; and manufactures and trades in dental products. It also manufactures solenoids, switches, valves, and slip rings for automobile and other industries; and invests in various listed and unlisted securities primarily on a long-term basis. In addition, the company manufactures and trades in analytical, precision balances, and weighing scales; and engages in the property development activities. Further, it deals with decorative plants and landscaping services; and offers bakery and dairy products. The company was incorporated in 1863 and is based in Mumbai, India."
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022,"Borosil Renewables Limited engages in the manufacture and sale of flat glass products in India and internationally. The company offers low iron textured solar glass for various applications in photovoltaic (PV) panels, flat plate collectors, and greenhouses. It offers Selene, an anti-glare solar glass suitable for PV installations near airports; and anti-soiling and antireflective coating solar glass. The company was formerly known as Borosil Glass Works Limited and changed its name to Borosil Renewables Limited in February 2020. Borosil Renewables Limited was incorporated in 1962 and is based in Mumbai, India."
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,"Brigade Enterprises Limited provides real estate development, leasing, and related services in India. The company operates through Real Estate, Hospitality, and Leasing segments. The Real Estate segment develops and sells various residential and commercial properties. The Hospitality segment develops and manages hospitality projects, including serviced residence facilities, clubs, hotels, resorts, and convention centers. This segment also provides celebrations catering and event services. The Leasing segment is involved in leasing office and retail spaces. The company was founded in 1986 and is based in Bengaluru, India."
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,"C. E. Info Systems Limited, a data and technology products and platforms company, provides digital mapping, geospatial software, and location-based Internet of Things technology solutions in India. The company offers digital maps, geospatial data services, field work automation solutions, and location-based consumer apps and IoT gadgets, as well as automotive and mobility tech solutions suite and location-powered enterprise digital transformation solutions. It also provides developer APIs and SDKs, navigation and mobility, GIS, analytics, and AI, fleet management, and drone services. C. E. Info Systems Limited was founded in 1992 and is headquartered in New Delhi, India."
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,"CCL Products (India) Limited manufactures, trades in, and sells instant coffee and coffee related products in India. It offers spray dried coffee powder and agglomerated coffee, freeze dried coffee, freeze concentrated liquid coffee, roast and ground coffee, roasted coffee beans, and premix coffee. The company provides its products in various packs, such as jars, cans, pouches/sachets, big bags, bulk boxes, and drums under the Continental, Xtra, Speciale, Freeze Dried, Malgudi, and THIS brand names. It also exports its products. The company was incorporated in 1961 and is based in Hyderabad, India."
CESC Ltd.,Power,CESC,EQ,INE486A01021,"CESC Limited, an integrated electrical utility company, engages in the generation and distribution of electricity in India. It owns and operates three thermal power plants, including Budge Budge, Southern, and Titagarh generating stations generating 1125 megawatts (MW) of power; a thermal power project with a capacity of 600 MW in Haldia, West Bengal; two thermal power projects with a capacity of 600 MW in Chandrapur, Maharashtra and 40 MW atmospheric fluidized bed combustion power plant in Asansol, West Bengal; and distributes power in Uttar Pradesh with license area of 335 square kilometers. The company owns and operates solar power project with a capacity of 18 MW data center in Ramanathapuram, Tamil Nadu. It serves approximately 3.5 million domestic, industrial, and commercial users in 567 square kilometers of Kolkata and Howrah. CESC Limited was founded in 1899 and is headquartered in Kolkata, India."
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,"CIE Automotive India Limited manufactures and sells automotive components to original equipment manufacturers and other customers in India and Europe. It offers forging products, such as crankshafts, steering components, and other forged products; stampings, including body systems, chassis systems, and assembly; gears and shafts; axle and transmission parts, engine parts, and other products; magnetic products comprising permanent magnets, soft ferrite cores, impeder cores, and magnetic induction lightings; sheet and dough molding compounds; auto parts, medical equipment covers, and windmill parts; and aluminum casting products. The company also provides oil sumps, turbo housings, exhaust manifolds, passive entry antenna components, synchro and cast hubs, and planetary carriers; differential and carrier housing, electrical, transmission/driveline, and suspension products; knuckles/stub axles, brake calipers, spring saddles, hoods, fenders, bonnets, foot plates, front grills, front axle support products, and stamped cabin components; and lift arms, rocker arms, trunion brackets, and toppling cranks. It offers its products for use in cars, utility vehicles, commercial vehicles, tractors, off road vehicles, and two-wheelers. The company was formerly known as Mahindra CIE Automotive Limited and changed its name to CIE Automotive India Limited in June 2023. The company was incorporated in 1999 and is based in Mumbai, India. CIE Automotive India Limited is a subsidiary of Participaciones Internacionales Autometal, Dos S.L."
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,"CSB Bank Limited provides banking and financial services for small and medium enterprises, retail, and NRI customers in India. It operates through four segments: Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Operations. The company offers savings and current, and fixed deposit accounts; life and general life insurances; digital access, which includes net and mobile banking, e-passbook, pay bill, and online transaction registration services; and doorstep banking services. It provides personal, gold, vehicle, home, and educational loans; tax payer's liquidity and casy cash scheme, medicash, VIP car loan, and base rate and service charges; and NRI banking services including NRO, NRE, FCNR, RFC accounts, loans, inward remittance, correspondent banks, SWIFT central, and forex rates, as well as Agri/FI banking services. In addition, the company offers SME and corporate banking services, which includes term and working capital loans, export and import finance, letter of credit, buyer and suppliers credit, commercial vehicle loans, inland and TReDs bill discounting, and cash credit and overdraft services; and trade finance services, such as packing credit, export bill collection, discounting, negotiation, purchase, export LC advising, and advance remittance against export services. CSB Bank Limited was formerly known as The Catholic Syrian Bank Limited. CSB Bank Limited was incorporated in 1920 and is headquartered in Thrissur, India."
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,"Campus Activewear Limited engages in the manufacture, trading, distribution, and sale of sports and athleisure footwear and accessories for men, women, and kids and children in India and internationally. It offers running, walking, sports, and casual shoes; sneakers; casual and sports sandals and floaters; clogs; slippers, flip flops, and slides; and socks under the CAMPUS brand name. The company distributes its products through multi-brand outlets, e-commerce platforms, and exclusive brand outlets. Campus Activewear Limited was founded in 2005 and is based in Gurugram, India."
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,"Can Fin Homes Limited provides housing finance services primarily to individuals, builders, corporates, and others in India. The company's products portfolio comprises housing loans, such as individual housing loans, affordable housing loans, credit link subsidy scheme and Pradhan Mantri Awas Yojana (PMAY), composite loans, and top-up loans; and non-housing loans, including mortgage loans, site loans, loans for commercial properties, loans against rent receivables, personal loans, loans for children education, and loans for pensioners, as well as fixed and cumulative deposits. It operates various branches, housing loan centers, and satellite offices. Can Fin Homes Limited was incorporated in 1987 and is headquartered in Bengaluru, India."
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,"Caplin Point Laboratories Limited, together with its subsidiaries, engages in the development, production, marketing, and export of generic pharmaceutical formulations and branded products in India. It provides liquid and lyophilized vials, pre-filled syringes, 3-pc ophthalmic droppers, pre-mix bags, dry and liquid syrups-bottles, tables, soft gels, capsules, suppositories, liquid and emulsion injectables in ampoules and vials, topicals, and sachets. The company was incorporated in 1990 and is headquartered in Chennai, India."
